tcr_id_reference,percentage_lower
6uln,25.75107296137339
4mji,47.21030042918455
7l1d,18.4549356223176
5w1w,37.33905579399141
7rtr,16.595135908440632
7n1e,13.590844062947067
5xov,80.11444921316166
3rgv,31.47353361945637
2vlj,3.719599427753934
5nqk,0.0
7qpj,41.48783977110158
7rm4,94.4206008583691
4n5e,39.34191702432045
3e3q,25.464949928469245
3gsn,18.025751072961373
6vrm,51.072961373390555
6tro,81.97424892703863
5e9d,23.462088698140203
6rpa,52.21745350500715
1kj2,71.10157367668097
8wul,29.184549356223176
5brz,30.90128755364807
5euo,2.7181688125894135
5e6i,52.07439198855508
2ypl,94.27753934191702
7n2o,1.4306151645207439
6zkw,72.38912732474965
7n2n,21.602288984263232
6vrn,60.51502145922747
1fo0,1.7167381974248928
6rsy,66.38054363376253
6rpb,36.194563662374826
2ak4,0.28612303290414876
5jzi,79.97138769670958
8qfy,16.02288984263233
2jcc,60.51502145922747
3o4l,39.62804005722461
7jwj,51.21602288984263
2esv,28.183118741058657
8enh,29.470672389127323
3d3v,20.028612303290416
8gon,83.97711015736766
3qdm,47.21030042918455
5men,28.32618025751073
7rrg,34.620886981402
7n4k,19.170243204577968
5tez,98.42632331902719
8cx4,1.5736766809728182
5m02,58.22603719599427
2ckb,29.756795422031473
3mv9,32.04577968526466
8i5d,42.06008583690987
7jwi,0.14306151645207438
5nmf,80.4005722460658
3vxs,42.20314735336195
3sjv,0.7153075822603719
8gvi,17.453505007153076
1bd2,55.793991416309005
4mvb,3.719599427753934
4eup,44.20600858369099
7rk7,25.035765379113016
5c09,9.871244635193133
6tmo,1.859799713876967
5c08,18.88412017167382
3hg1,28.040057224606578
5wlg,19.45636623748212
6bj3,35.050071530758224
7q99,45.35050071530758
8i5c,10.157367668097281
4jrx,19.599427753934194
6vm8,40.772532188841204
6q3s,7.4498567335243555
7nme,84.97854077253218
7n6e,32.61802575107296
6mtm,85.40772532188842
6vm9,66.95278969957081
6vmx,9.15593705293276
6amu,94.4206008583691
3qdj,18.59799713876967
4jry,58.0829756795422
3vxu,77.39628040057225
6bj2,65.23605150214593
5isz,53.934191702432045
4g8g,11.587982832618025
3pwp,10.44349070100143
5sws,15.879828326180256
3ffc,23.319027181688128
7q9b,13.304721030042918
6avf,53.36194563662375
6avg,16.30901287553648
3vxm,79.25608011444922
4qrr,58.0829756795422
2nx5,83.2618025751073
6p64,3.5765379113018603
8shi,45.06437768240343
1g6r,27.896995708154503
7phr,18.741058655221746
7byd,34.33476394849785
7dzn,5.293276108726753
4qrp,0.4291845493562232
6rp9,23.89127324749642
7r80,55.50786838340487
6vqo,10.157367668097281
5d2l,3.862660944206009
6r2l,9.298998569384835
5eu6,97.42489270386267
3tjh,50.35765379113018
3tfk,30.32904148783977
5d2n,75.67954220314735
1mi5,1.859799713876967
7ndq,79.82832618025752
8dnt,23.462088698140203
5jhd,43.63376251788269
8f5a,34.620886981402
6l9l,1.859799713876967
7n2r,60.65808297567954
8d5q,4.291845493562231
7n2s,44.92131616595136
3tpu,48.354792560801144
6uon,70.81545064377683
7ow6,11.301859799713878
7pbe,12.589413447782546
7pb2,32.04577968526466
7n2p,3.5765379113018603
3kpr,22.603719599427755
3dxa,67.95422031473534
1nam,21.602288984263232
